名称,営業日,住所,アクセス
セルベサ ジャパン 渋谷AXSH店,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区渋谷２-17-1 渋谷AXSH 2F,渋谷駅渋谷ヒカリエ出口(青山通り方面)より徒歩約0分/東京メトロ千代田線表参道駅Ｂ１出口より徒歩約14分
焼肉 寿亭 渋谷店,月～日: 11:00～翌4:30 （料理L.O. 翌4:00）,東京都渋谷区道玄坂２－９－２　Ｂ1Ｆ,京王井の頭線渋谷駅西口 徒歩1分／JR渋谷駅ハチ公口 徒歩2分／東急田園都市線渋谷駅 徒歩2分
Bar Rudies バー ルーディーズ,月～金、祝前日: 11:30～翌3:00土: 14:00～翌0:00日: 14:00～23:00祝日: 15:00～23:00,東京都渋谷区道玄坂１-7-10 新大宗ソシアルビル 5F,山手線　　渋谷駅ハチ公口より徒歩5分井の頭線　渋谷駅西口より徒歩2分
SPOT,月～土、祝日、祝前日: 18:00～翌9:00日: 18:00～翌2:00,東京都渋谷区道玄坂１‐6－10　早川ビルB1 ,井の頭線渋谷駅西口より徒歩10秒JR線・東急線・東京メトロ渋谷駅より徒歩2分
銀座ほんじん 渋谷店,月～金: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）土、日、祝日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区桜丘町17-10MCDBLD　B2F,ＪＲ山手線【渋谷駅】南口　徒歩４分
Bar & Shisha Vedge ヴェッジ,月～日、祝日、祝前日: 19:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区神南１-20-8　パークウェイテラス4F,渋谷駅より徒歩約5分/明治神宮前駅より徒歩約16分/代々木公園駅より徒歩約20分
ガスト 渋谷駅前,月～日、祝日、祝前日: 07:30～23:00,東京都渋谷区道玄坂２‐3‐1 渋谷駅前ビル 7F,渋谷駅 徒歩1分
おもてなしとりよし 渋谷道玄坂店,月～日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区道玄坂２－２９－８　道玄坂センタービル６Ｆ,JR渋谷駅ハチ公口 徒歩3分/半蔵門線1番出口出てすぐ右側の道玄坂センタービル6F
山島屋 yamashimaya 渋谷店,月～木: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金～日、祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区宇田川町26-4 Lu82ビル 4F,【個室喫煙OK】渋谷駅ハチ公口徒歩1分。文化村通りに入ってすぐのコンビニがあるビルの4階です。駅前での待合せも容易！
焼肉78 ナナハチ 渋谷駅徒歩1分,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区桜丘町１－４　渋谷サクラステージ SHIBUYAサイド ４F,渋谷駅新南口から徒歩1分/渋谷駅から158m
MR LEE ミスターリー 渋谷駅,月～日、祝日: 11:00～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～23:00,東京都渋谷区桜丘町１－４　渋谷サクラステージ SHIBUYA SIDE ４F,JR渋谷駅　新南口徒歩１分/渋谷駅から115m
One Trick Pony ワントリックポニー,月～土、祝前日: 19:00～翌2:00,東京都渋谷区道玄坂１-11-1第二大番ビル502,渋谷マークシティすぐ近くにあるお店/京王井の頭線渋谷駅京王井の頭線西口より徒歩約1分/
スシとワイン SUSHI SOUL 渋谷駅,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区桜丘町１－４　渋谷サクラステージ SHIBUYASIDE ４F,JR渋谷駅新南口から徒歩1分/渋谷駅から164m
Rebecca レベッカ 渋谷,月～金、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）土、日、祝日: 15:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区道玄坂２-３-２ 大外ビル　B1F,各線渋谷駅から徒歩１分、田園都市線井の頭口目の前、渋谷駅から246m　地域共通紙、電子クーポンどちらも使えます！
MAYAK POCHA マヤクポチャ 渋谷本店,月～木: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金: 16:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）土: 12:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）日、祝日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区宇田川町26-9 メトロビルB1階,渋谷駅ハチ公口徒歩3分バスケットボールストリート（渋谷センター街）通りの１階ウエンディーズ伸ビル2階
矢場味仙TOKYO,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区道玄坂１-17-7渋谷いちのビル1階,ＪＲ渋谷駅ハチ公口より徒歩約8分/東京メトロ銀座線渋谷駅井の頭線出口より徒歩約5分
居酒屋それゆけ！鶏ヤロー！渋谷駅前店,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区道玄坂２－３－１　渋谷駅前ビル１F,東京メトロ，東急渋谷駅Ａ１２出口より徒歩約1分/ＪＲ渋谷駅宮益坂口より徒歩約1分/銀座線渋谷駅ハチ公口より徒歩約1分
傷ついたダンサーが集まる BAR KIZUKI バー キズキ,月～木: 19:00～翌1:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）金、土、祝日、祝前日: 19:00～翌4:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）,東京都渋谷区渋谷１-8-5　グローリア10F,"渋谷駅徒歩5分Shibuya-ku, Tokyo渋谷区渋谷1-8-5 グローリア宮益坂10F"
ミクロコスモス MICROCOSMOS 渋谷,月、水～日、祝日、祝前日: 12:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,東京都渋谷区渋谷１-25-6渋谷パークサイド共同ビル8階,JR山手線「渋谷」駅ハチ公口より　徒歩 1分
それゆけ!鶏ヤロー! 渋谷道玄坂店,月～日、祝日、祝前日: 16:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区道玄坂２丁目２５-１４ 2・3階 カネダイビル,東京メトロ，東急渋谷駅Ａ２出口・京王井の頭線渋谷駅井の頭線西口より徒歩約4分/ＪＲ渋谷駅ハチ公口より徒歩約7分
