名称,営業日,住所,アクセス
楽蔵 うたげ 渋谷駅前店,月～日、祝日、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-24-12 渋谷東映プラザビル6Ｆ,JR 渋谷駅東口徒歩1分／地下鉄渋谷駅10番出口徒歩1分／銀座線・半蔵門線・副都心線渋谷駅宮益坂口出口 徒歩1分
居酒屋 土間土間 渋谷店,月～金: 17:00～翌4:30 （料理L.O. 翌3:30 ドリンクL.O. 翌4:00）土、日、祝日: 15:00～翌4:30 （料理L.O. 翌3:30 ドリンクL.O. 翌4:00）,東京都渋谷区渋谷１－１２－１　カレイド渋谷宮益坂６Ｆ,地下鉄渋谷駅13a出口1分／JR渋谷駅・東横線渋谷駅・井の頭線渋谷駅東口3分 副都心線徒歩3分宮益坂・居酒屋
せかんどby彩 渋谷,月～木、日: 17:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）金、土、祝前日: 17:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）,東京都渋谷区宇田川町30-5 Jowビル 4F,東京メトロ，東急渋谷駅Ａ３ｂ出口より徒歩約4分
鳥道酒場 渋谷センター街2号店,月～日、祝日、祝前日: 05:00～翌5:00,東京都渋谷区宇田川町22-4　渋谷センター街ビル 1F～4F,渋谷駅徒歩1分　【各路線からアクセス良好 × 集合&待ち合わせも容易】
海鮮居酒屋 はなの舞 渋谷並木橋店,月～木: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）金: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）16:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:30）土、日、祝日: 15:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区渋谷３-13-5イプセ渋谷2F,JR山手線渋谷駅東口徒歩5分
南国亭 渋谷一号店,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区東１-26-20 東京建物B1,渋谷駅新南口から徒歩8分
J仔酒場 ジェイジェイナイトマーケット 渋谷センター街,月～金、祝前日: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 15:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 23:00）土、日、祝日: 11:30～23:00 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区宇田川町‐26‐11　白馬ビルB1F,東京メトロ，東急渋谷駅Ａ３ｂ出口より徒歩約1分
イタメシ食堂 アペロ 渋谷道玄坂店,月～金: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）土、日、祝日: 11:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２丁目１１ １JMFビル渋谷03 1階,東京メトロ，東急渋谷駅Ａ０出口より徒歩約5分/京王井の頭線神泉駅南口より徒歩約5分/ＪＲ渋谷駅ハチ公口より徒歩約9分 
ビアポンバー GROVE グローブ 渋谷明治通り店,月～日: 19:00～翌5:00 （料理L.O. 翌3:30 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１-14-15 森ビル6階,渋谷駅 各線より徒歩2分
BAR 柔 yawara,月～土: 18:00～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）日: 15:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区円山町1-3　ＳＫビル３階,京王井の頭線『神泉駅』南口より徒歩約6分/各線『渋谷駅』出口より徒歩約10分
TEPPAN KITCHEN テッパンキッチン 渋谷ストリーム店,月～金、祝前日: 11:00～15:00 （料理L.O. 14:30）17:00～23:00 （料理L.O. 22:30）土、日、祝日: 11:30～23:00 （料理L.O. 22:30）,東京都渋谷区渋谷３－２１－３　ストリーム３階,東京メトロ、東急渋谷駅エレベーター３２出口より徒歩約1分渋谷駅新南口からも好アクセス◎
渋谷っ子居酒屋 とりとん,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１－２４－２　渋谷朱ビル３Ｆ,渋谷駅13出口 徒歩約1分！！渋谷駅宮益坂口 徒歩約3分！！渋谷駅東口 徒歩約5分！！
あくとり代官 鍋之進 渋谷,月～金、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土、日、祝日: 16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区道玄坂１－５－２　渋谷ＳＥＤＥ３Ｆ,JR渋谷駅ハチ公出口　徒歩1分／地下鉄銀座線渋谷駅　徒歩1分／東急東横線渋谷駅　徒歩1分
御八 渋谷駅前店,月～日、祝日、祝前日: 16:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:45）,東京都渋谷区道玄坂２－８－７　道玄坂ビルＢ１,ＪＲ渋谷駅ハチ公口徒歩3分 京王井の頭線渋谷駅西口徒歩1分
USHIHACHI 極 渋谷,月～金: 11:00～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２-3-1 渋谷駅前ビル　４F,東京メトロ、東急、京王井の頭線渋谷駅より徒歩約1分/ＪＲ、東京メトロ銀座線渋谷駅ハチ公口より徒歩約1分
居酒屋 魚魚権 ととげん 渋谷 神泉,月～金、祝前日: 17:30～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）土、祝日: 17:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区円山町２２－１４　塙ビル１Ｆ,JR渋谷駅 ハチ公口徒歩6分／京王井の頭線 神泉駅 徒歩1分。道玄坂・円山町エリア、海鮮居酒屋「魚魚権」
De Salita デサリータ 渋谷,月～日: 11:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区道玄坂２-3-1渋谷駅前ビルB１,渋谷駅各線から徒歩1分
丸万 マルマン 渋谷店,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:15 ドリンクL.O. 22:15）,東京都渋谷区道玄坂１-2-3 東急プラザ6F,ＪＲ 渋谷駅 徒歩2分/地下鉄銀座線 渋谷駅 徒歩2分
DRESSGRAPE ドレスグレープ,月～日、祝日、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区桜丘町14－10澁谷コープ１F,ＪＲ，東京メトロ銀座線渋谷駅西口より徒歩約5分/東京メトロ，東急渋谷駅Ｂ６出口より徒歩約7分
TEXMEX FACTORY 渋谷公園通り店,月～金: 11:30～15:0017:00～22:30土、日、祝日、祝前日: 11:30～22:30,東京都渋谷区神南１-19-3 ハイマンテン神南ビル2F,渋谷駅のハチ公口を出て、西武デパートの方向に進み、交差点2つめを左に曲がって少し歩いた右手2階にあります。 
ラウンジ ノイズ Lounge Noiz,月～日、祝日、祝前日: 17:00～翌5:00,東京都渋谷区道玄坂２－２９－１８ 才藤第二ビル6F,【渋谷駅A2出口徒歩1分・ハチ公口徒歩3分】109脇の文化村通り沿い
ジョイサウンド JOYSOUND 渋谷南口駅前店,月～日、祝日、祝前日: 11:00～翌5:00,東京都渋谷区道玄坂１-3-1　渋谷駅前会館9階,JR渋谷駅　ハチ公口から徒歩2分（マークシティ沿い、パチンコ屋のビル）
もつ焼き次世代 渋谷店,月～日、祝日: 12:00～翌4:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:30）,東京都渋谷区道玄坂２-25-17小島ビル１F ,東京メトロ，東急渋谷駅Ａ０出口より徒歩約3分/京王井の頭線渋谷駅井の頭線西口より徒歩約4分
LUXURY BAR＆KARAOKE PALACE パレス 渋谷駅前店,月～日: 11:00～翌5:00 （料理L.O. 翌3:00 ドリンクL.O. 翌4:00）,東京都渋谷区渋谷１-25-6 渋谷パークサイド共同ビル 4F,JR【渋谷駅】徒歩30秒（ハチ公口）■宮下パーク入口ビル４階■
&happy life アンドハッピーライフ,月～日、祝日、祝前日: 20:00～翌6:00 （料理L.O. 翌5:30 ドリンクL.O. 翌5:30）,東京都渋谷区道玄坂１-5-9 ザ・レンガビル４F-C,渋谷駅中央口より徒歩２分
渋谷っ子居酒屋 とととりとん 渋谷3号店,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区道玄坂２-9-2 渋谷専門店会ビル2階,京王井の頭線渋谷駅井の頭線西口より徒歩約1分！！ＪＲ渋谷駅ハチ公口より徒歩約5分！！
大衆居酒屋 ひろかつ 渋谷道玄坂店,月～金、祝前日: 14:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）土、日、祝日: 12:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１－５－４　昭力ビルＢ１Ｆ,各線渋谷駅から徒歩3分
渋谷マスダ亭,月、火、金、祝前日: 12:00～15:00 （料理L.O. 14:20 ドリンクL.O. 14:20）17:00～22:00 （料理L.O. 21:20 ドリンクL.O. 21:20）水、木: 17:00～22:00 （料理L.O. 21:20 ドリンクL.O. 21:20）土、日、祝日: 12:00～22:00 （料理L.O. 21:20 ドリンクL.O. 21:20）,東京都渋谷区宇田川町22-1,渋谷駅徒歩1分　ハチ公口出て看板が見えます。
Darts UP ダーツ アップ 渋谷駅前,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区道玄坂１-3-1渋谷駅前会館(飯島ビル)B2F,渋谷駅より徒歩約2分
ポイントテン 渋谷マークシティ,月～木、日: 11:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）金、土: 11:00～翌1:00 （料理L.O. 23:30 ドリンクL.O. 翌0:00）,東京都渋谷区道玄坂１丁目5-9 レンガビル１F,京王井の頭線渋谷駅井の頭線出口(バスターミナル方面)より徒歩約1分/JR渋谷駅ハチ公口より徒歩約5分
鉄板焼き 凛 渋谷,月～日、祝日、祝前日: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区宇田川町32-15 ヒューリック渋谷センター街 4F-A,東京メトロ，東急渋谷駅Ａ３ｂ出口より徒歩約4分/ＪＲ渋谷駅ハチ公口より徒歩約7分
ワインの酒場ディプント渋谷駅前店,月～金、祝前日: 16:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）土、日、祝日: 13:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）,東京都渋谷区渋谷１－２４－１６　みずほ銀行遠州屋共同ビルB１F,渋谷駅前　徒歩1分
焼肉 それいけ!! もうもうくうくう 渋谷道玄坂店,月～木、祝前日: 16:00～23:00 （料理L.O. 22:15 ドリンクL.O. 22:30）金～日、祝日: 12:00～23:00 （料理L.O. 22:15 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２-25-15 福田ビル B1,JR渋谷駅ハチ公口より徒歩5分/京王井の頭線渋谷駅西口より徒歩3分/東急線・東京メトロA0出口より徒歩2分
神戸牛焼肉と冷やし生ピーマン　金肉屋　渋谷part2,月～木: 18:00～23:00 （料理L.O. 22:30）金、土: 18:00～翌4:00 （料理L.O. 翌3:30）日、祝日: 17:00～23:00 （料理L.O. 22:30）,東京都渋谷区道玄坂２-18-6,東京メトロ，東急渋谷駅Ａ０出口より徒歩約6分/神泉駅から徒歩5分/神泉駅から273m
村さ来 渋谷246店,月～金: 16:30～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、祝日: 15:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区渋谷２－２２－７　,≪渋谷ヒカリエ徒歩1分≫JR山手線渋谷駅東口　徒歩約2分／東急東横線渋谷駅東口　徒歩約2分
和食居酒屋 鳥世界 渋谷本店,月、日: 12:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）火～土: 12:00～翌7:00 （料理L.O. 翌6:00 ドリンクL.O. 翌6:00）,東京都渋谷区道玄坂２-28-2 GMビル1階,渋谷駅ハチ公口徒歩3分。道玄坂の途中にあるロイヤルホストさんの先です。道案内など気兼ねなくお問い合わせください。
ラ エスキーナ SHIBUYA 渋谷駅徒歩1分,月～土、祝前日: 11:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）日、祝日: 11:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）,東京都渋谷区桜丘町1-1サクラステージ４Ｆ,渋谷駅直結♪サクラステージ4階☆
LUXURY BAR PALACE パレス 渋谷駅前店,月～日、祝日、祝前日: 11:00～翌5:00 （料理L.O. 翌3:00 ドリンクL.O. 翌4:00）,東京都渋谷区渋谷１-25-6 渋谷パークサイド共同ビル4F,JR渋谷駅【ハチ公口】徒歩30秒！ 宮下パーク入口ビル4階
カオサン 渋谷宮益坂店,月～土、祝前日: 11:00～17:2917:30～22:30 （料理L.O. 22:00 ドリンクL.O. 22:00）日、祝日: 11:00～17:2917:30～21:30 （料理L.O. 21:30 ドリンクL.O. 21:30）,東京都渋谷区渋谷１-8-5　小山ビル2F,【渋谷駅】『12出口』徒歩約4分 / 『宮益坂口出口』徒歩約5分
鉄板焼 お好み焼 かしわ 渋谷ヒカリエ店,月～日、祝日、祝前日: 11:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）,東京都渋谷区渋谷２-21-1 渋谷ヒカリエ 7F,ＪＲ，東京メトロ，東急，京王井の頭線渋谷駅渋谷ヒカリエ出口(青山通り方面)より徒歩約1分
渋谷ハイボールバー,月～金、祝前日: 16:00～翌5:00土: 15:00～翌5:00日、祝日: 15:00～23:00,東京都渋谷区宇田川町２３ー１０　ＶＩＶＥＬ渋谷　地下１階,JR山手線「渋谷駅」徒歩2分／銀座線「渋谷駅」徒歩2分／副都心線「渋谷駅」徒歩2分／半蔵門線「渋谷駅」徒歩2分 
